TargetName,JJ93.|.001.|.tumor,JJ93.|.001.|.CD45,JJ93.|.002.|.Ki67+.tumor,JJ93.|.002.|.tumor,JJ93.|.002.|.CD45,JJ93.|.003.|.Ki67+.tumor,JJ93.|.003.|.tumor,JJ93.|.003.|.CD45,JJ93.|.004.|.tumor,JJ93.|.004.|.CD45,JJ93.|.005.|.tumor,JJ93.|.005.|.CD45,JJ98.|.001.|.Ki67+.tumor,JJ98.|.001.|.tumor,JJ98.|.001.|.CD45,JJ98.|.002.|.Ki67+.tumor,JJ98.|.002.|.tumor,JJ98.|.002.|.CD45,JJ98.|.003.|.Ki67+.tumor,JJ98.|.003.|.tumor,JJ98.|.003.|.CD45,JJ98.|.004.|.tumor,JJ98.|.005.|.tumor,JJ98.|.006.|.tumor
KLHL12,45,4,4,17,4,7,17,1,14,7,18,6,13,12,30,6,34,9,9,34,44,10,6,5
KLHL13,42,9,4,21,2,5,19,1,9,4,11,1,9,6,16,4,17,5,2,15,24,5,1,1
KLHL14,20,6,2,10,1,1,4,3,2,1,5,1,12,9,9,2,12,2,3,5,25,9,5,1
KLHL15,16,7,1,15,1,2,6,1,8,5,15,1,9,11,14,2,16,5,3,15,30,8,3,1
KLHL17,30,8,1,22,4,5,11,3,10,4,9,1,14,7,20,1,24,7,4,16,20,7,9,2
KLHL18,22,3,6,8,4,5,8,1,11,2,7,1,13,8,14,2,14,6,3,11,23,10,9,2
KLHL2,29,5,2,11,5,7,12,5,14,9,12,2,10,16,19,1,14,13,9,15,35,7,4,1
KLHL20,73,8,8,35,11,11,23,7,29,12,33,4,18,23,37,7,43,15,4,24,58,6,10,1
KLHL21,18,4,2,9,1,3,7,2,15,4,8,1,16,12,24,3,49,12,2,29,26,10,9,4
KLHL22,41,7,6,31,3,8,12,3,30,4,27,3,26,28,17,4,29,14,4,25,31,13,7,4
KLHL23,82,4,9,39,4,6,19,3,21,4,38,2,24,22,28,3,34,6,5,31,39,7,8,2
KLHL24,60,8,8,41,11,10,25,3,40,9,26,5,16,26,39,3,42,4,7,27,41,6,6,2
KLHL25,25,9,2,28,4,8,17,1,26,8,15,2,6,13,20,6,27,6,4,20,17,11,11,2
KLHL26,24,5,2,9,1,2,8,3,8,5,17,1,13,6,20,3,16,7,3,25,31,10,4,1
KLHL28,47,4,7,25,2,5,14,3,14,2,24,3,11,7,23,3,27,9,4,17,14,9,3,2
KLHL29,18,5,3,11,3,3,8,1,12,3,8,1,6,6,11,1,16,3,1,9,18,7,6,3
KLHL3,17,4,5,13,2,2,8,2,12,3,7,2,9,9,16,1,15,3,4,11,21,6,3,1
KLHL30,31,4,2,8,4,2,9,5,15,2,9,1,8,12,8,2,12,3,2,10,23,9,7,2
KLHL31,20,5,2,8,1,2,8,2,23,1,13,2,3,7,14,1,16,3,2,12,16,11,12,2
KLHL32,47,17,4,21,4,5,21,5,35,8,37,4,6,17,30,1,23,7,4,26,50,11,10,3
